Company,Ticker,Sector,Filing_Year,Paragraph_id,Passage,AI_keywords,risk_category,disclosure_quality,annotation
Abbott Labs,ABT,Healthcare,2022,,,,,,
Abbott Labs,ABT,Healthcare,2023,,,,,,
Abbott Labs,ABT,Healthcare,2024,,,,,,
Airbnb,ABNB,Consumer Services,2022,1,"In December 2020, the European Commission adopted a proposal for a Digital Services Act (the “DSA”) to modernize the E-Commerce Directive with regard to, among other things, illegal services or content, traceability of business users, and transparency measures, including on the algorithms used for recommendation.","algorithm, algorithms",Regulation,2.0,Names specific EU regulation (DSA) affecting recommendation algorithms
Airbnb,ABNB,Consumer Services,2022,2,"There is increased governmental interest in regulating technology companies in areas including privacy, tax, data localization and data access, algorithm-based discrimination, competition, and real estate broker related activities.",algorithm,Regulation,2.0,General regulatory trend re: algorithm-based discrimination among other areas
Airbnb,ABNB,Consumer Services,2022,3,"The DSA modernizes the E-Commerce Directive with regard to, among other things, illegal services or content, traceability of business users and transparency measures, including on the algorithms used for recommendation.","algorithm, algorithms",Regulation,2.0,Duplicate of DSA passage
Airbnb,ABNB,Consumer Services,2022,4,"Changes to search engine algorithms or similar actions are not within our control, and could adversely affect our search-engine rankings and traffic to our platform.","algorithm, algorithms",Other,1.0,"Third-party search-engine algorithm risk, not company's own AI regulation/privacy/cyber/IP"
Airbnb,ABNB,Consumer Services,2022,5,"If the internal systems and tools we use to track these metrics undercount or overcount performance or contain algorithmic or other technical errors, the data we report may not be accurate.","AI, algorithm, algorithmic",Accuracy/Reliability,2.0,Algorithmic/technical errors could make reported metrics inaccurate
Airbnb,ABNB,Consumer Services,2022,6,"Our metrics, including our reported Nights and Experiences Booked, GBV, and active listings, may include fraudulent bookings, accounts, and other activities that have not been flagged by our trust and safety teams or identified by our machine learning algorithms or not yet addressed by our operational teams, which could mean these activities on our site are not identified or addressed in a timely manner or at all, reducing the accuracy of our metrics.","machine learning, algorithm, algorithms",Accuracy/Reliability,2.0,"ML algorithms may fail to flag fraudulent activity, reducing metric accuracy"
Airbnb,ABNB,Consumer Services,2022,7,"Our business also increasingly relies on machine learning, artificial intelligence and automated decision making to improve our services and tailor our interactions with our customers.","artificial intelligence, AI, machine learning",Other,1.0,"Describes reliance on ML/AI, no risk stated"
Airbnb,ABNB,Consumer Services,2022,8,"New laws, guidance and/or decisions in this area may limit our ability to use our machine learning and artificial intelligence, or require us to make changes to our platform or operations that may decrease our operational efficiency, result in an increase to operating costs and/or hinder our ability to improve our services.","artificial intelligence, machine learning",Regulation,3.0,"Specific: new laws may limit AI use, increase costs, decrease efficiency"
Airbnb,ABNB,Consumer Services,2022,9,"Our platform is a complex system composed of many interoperating components and software, including algorithms that incorporate machine learning and exhibit characteristics of artificial intelligence.","artificial intelligence, machine learning, algorithm, algorithms",Other,1.0,Descriptive: platform composed of ML/AI components
Airbnb,ABNB,Consumer Services,2022,10,"Meeting the community support expectations of our Hosts and guests requires significant time and resources from our community support team and significant investment in staffing, technology, including automation and machine learning to improve efficiency, infrastructure, policies, and community support tools.","machine learning, automation",Cost/Investment,1.0,Descriptive investment in automation/ML for efficiency
Airbnb,ABNB,Consumer Services,2022,11,Our service is staffed based on complex algorithms that map to our business forecasts.,"algorithm, algorithms",Other,1.0,Descriptive: service staffed via complex algorithms
Airbnb,ABNB,Consumer Services,2022,12,"Our future success will also depend on our ability to adapt to emerging technologies such as tokenization, cryptocurrencies, new authentication technologies, such as biometrics, distributed ledger and blockchain technologies, artificial intelligence, virtual and augmented reality, and cloud technologies.","artificial intelligence, AI",Other,1.0,Generic forward-looking mention of AI among many emerging technologies
